Category,Level1,Level2,Level3,Level4,SantaClara,,Alameda,SanFrancisco,SanMateo,SantaCruz,California,Total
,Ground Water Level,Water usage,Urban/Rural Development,,0,b,,,,,0,
,Ground Water Level,Water usage,Urban/Rural Development,,0,b,,,,,0,
,Ground Water Level,Water usage,Urban/Rural Development,,0,b,,,,,0,
,Ground Water Level,Water usage,Population Increase,,0.15,b,,,,,0.15,
,Ground Water Level,Water usage,Population Increase,,-0.15,b,,,,,-0.15,
,Ground Water Level,Water usage,Population Increase,,0.265,b,,,,,0.265,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.569,b,0.38,,,,0.569,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.144,b,,,,,0.144,
,Ground Water Level,Water usage,Water Leakage/Seepage,,0.194,b,,,,,0.194,
,Ground Water Level,Water usage,Urban/Rural Development,,-0.201,b,,,,,-0.201,
#NAME?,Reservoir Level,Water usage,Urban/Rural Development,,0.712,b,0,0,0,,0.712,0
,Reservoir Level,Water usage,Urban/Rural Development,,10,b,,,,,10,
,Reservoir Level,Water usage,Urban/Rural Development,,0.167,b,,,,,0.167,
,Reservoir Level,Water usage,Population Increase,,0.138,b,,,,,0.138,
,Reservoir Level,Water usage,Population Increase,,-0.051,b,,,,,-0.051,
,Reservoir Level,Water usage,Population Increase,,0,b,,,,,0,
,Reservoir Level,Water usage,Water Leakage/Seepage,,0,b,,,,,0,
,Reservoir Level,Water usage,Water Leakage/Seepage,,0.175,b,,,,,0.175,
#NAME?,Reservoir Level,Water usage,Water Leakage/Seepage,,0.056,b,,,,,0.056,0.38
,Precipitation,Rainfall,Climate,Average Temperature,0.189,b,,,,,0.189,
,Precipitation,Rainfall,Climate,Humidity,0.2,b,,,,,0.2,
,Precipitation,Rainfall,Climate,Wind,9.727,b,,,,,9.727,
,Precipitation,Rainfall,Climate,Vegetative Cover,0.282,b,,,,,0.282,
,Precipitation,Snow melt/ Glacier,Climate,Average Temperature,10.97,b,,,,,10.97,
,Precipitation,Snow melt/ Glacier,Climate,Humidity,2.912,b,,,,,2.912,
,Precipitation,Snow melt/ Glacier,Climate,Wind,-0.059,b,,,,,-0.059,
,Precipitation,Snow melt/ Glacier,Climate,Vegetative Cover,0.068,,,,,,0.068,
,Precipitation,Snow melt/ Glacier,Climate,Average Temperature,-0.056,,,,,,-0.056,
,Precipitation,Rainfall,Climate,Vegetative Cover,-0.175,,,,,,-0.175,
,PDSI Index,,,,0.134,,,,,,0.134,
,PDSI Index,,,,0.061,,,,,,0.061,
,PDSI Index,,,,0.359,,,,,,0.359,
,PDSI Index,,,,2.463,,,,,,2.463,
,PDSI Index,,,,3.181,,,,,,3.181,
,PDSI Index,,,,1.679,,,,,,1.679,
,PDSI Index,,,,0.242,,,,,,0.242,
,PDSI Index,,,,4.161,,,,,,4.161,
,PDSI Index,,,,0.156,,,,,,0.156,
,PDSI Index,,,,0.397,,,,,,0.397,