Precipitation	sepalWidth	petalLength	petalWidth	species
0.15	2015			Alameda
0.1	2014			Alameda
0.59	2013			Alameda
3.38	2012			Alameda
5.46	2011			Alameda
7.66	2010			Alameda
0.91	2009			Alameda
0.82	2008			Alameda
1	2007			Alameda
4.03	2006			Alameda
4.33	2005			Alameda
3.4	2004			Alameda
4.41	2003			Alameda
2.03	2002			Alameda
3.86	2001			Alameda
7.98	2000			Alameda
4.86	1999			Alameda
10.63	1998			Alameda
9.54	1997			Alameda
6.74	1996			Alameda
10.37	1995			Alameda
0.78	2015			San Francisco 
0.08	2014			San Francisco 
0.56	2013			San Francisco 
2.85	2012			San Francisco 
5.47	2011			San Francisco 
7.83	2010			San Francisco 
0.78	2009			San Francisco 
7.27	2008			San Francisco 
0.62	2007			San Francisco 
2.93	2006			San Francisco 
2.29	2005			San Francisco 
3.19	2004			San Francisco 
1.58	2003			San Francisco 
1.81	2002			San Francisco 
3.05	2001			San Francisco 
5.97	2000			San Francisco 
3.67	1999			San Francisco 
9.15	1998			San Francisco 
8	1997			San Francisco 
5.58	1996			San Francisco 
9.06	1995			San Francisco 
7.86	2015			San Mateo
0.17	2014			San Mateo
0.39	2013			San Mateo
2.18	2012			San Mateo
1.46	2011			San Mateo
6.4	2010			San Mateo
1.17	2009			San Mateo
8.64	2008			San Mateo
1.43	2007			San Mateo
4.68	2006			San Mateo
6.11	2005			San Mateo
3.33	2004			San Mateo
1.34	2003			San Mateo
4.37	2002			San Mateo
5.75	2001			San Mateo
7.53	2000			San Mateo
6.4	1999			San Mateo
12.13	1998			San Mateo
9.86	1997			San Mateo
8.27	1996			San Mateo
11.38	1995			San Mateo
0.01	2015			Santa Clara
0.12	2014			Santa Clara
0.69	2013			Santa Clara
0.9	2012			Santa Clara
0.96	2011			Santa Clara
4.58	2010			Santa Clara
1.3	2009			Santa Clara
5.6	2008			Santa Clara
0.93	2007			Santa Clara
2.94	2006			Santa Clara
3.47	2005			Santa Clara
2.61	2004			Santa Clara
0.65	2003			Santa Clara
0.75	2002			Santa Clara
2.87	2001			Santa Clara
3.57	2000			Santa Clara
3.25	1999			Santa Clara
4.81	1998			Santa Clara
6.8	1997			Santa Clara
3.03	1996			Santa Clara
8.66	1995			Santa Clara
1.86	1977			Santa Cruz 
0.43	1976			Santa Cruz 
1.63	1975			Santa Cruz 
6.13	1974			Santa Cruz 
7.52	1973			Santa Cruz 
1.77	1972			Santa Cruz 
1.19	1971			Santa Cruz 
11.21	1970			Santa Cruz 
10.18	1969			Santa Cruz 
5.72	1968			Santa Cruz 
9.46	1967			Santa Cruz 
3.49	1966			Santa Cruz 
3.51	1965			Santa Cruz 
4.05	1964			Santa Cruz 
3.48	1963			Santa Cruz 
3.51	1962			Santa Cruz 
3.95	1961			Santa Cruz 
3.45	1960			Santa Cruz 
0.2	2015			Shasta
0.75	2014			Shasta
1.29	2013			Shasta
6.29	2012			Shasta
7.86	2011			Shasta
9.74	2010			Shasta
1.57	2009			Shasta
11.21	2008			Shasta
0.31	2007			Shasta
5.88	2006			Shasta
3.95	2005			Shasta
3.29	2004			Shasta
7.67	2003			Shasta
6.74	2002			Shasta
5.18	2001			Shasta
6.14	2000			Shasta
2.29	1999			Shasta
10.72	1998			Shasta
6.02	1997			Shasta
8.93	1996			Shasta
18.26	1995			Shasta